idx,name,op,target,phase,layer,direct_dependency_args,direct_dependency_nodes,direct_offspring_nodes,ancestor_count,descendant_count,strategy_count
0,primals_1,placeholder,primals_1,unknown,,0,0,1,0,5816,3
1,primals_2,placeholder,primals_2,unknown,,0,0,1,0,5777,3
2,primals_3,placeholder,primals_3,unknown,,0,0,1,0,5777,3
3,primals_4,placeholder,primals_4,unknown,,0,0,1,0,5770,3
4,primals_5,placeholder,primals_5,unknown,,0,0,1,0,5757,3
5,primals_6,placeholder,primals_6,unknown,,0,0,1,0,5737,3
6,primals_7,placeholder,primals_7,unknown,,0,0,1,0,5714,3
7,primals_8,placeholder,primals_8,unknown,,0,0,1,0,5718,3
8,primals_9,placeholder,primals_9,unknown,,0,0,1,0,5794,2
9,primals_10,placeholder,primals_10,unknown,,0,0,1,0,5741,2
10,primals_11,placeholder,primals_11,unknown,,0,0,1,0,5681,3
11,primals_12,placeholder,primals_12,unknown,,0,0,1,0,5681,3
12,primals_13,placeholder,primals_13,unknown,,0,0,1,0,5674,3
13,primals_14,placeholder,primals_14,unknown,,0,0,1,0,5661,3
14,primals_15,placeholder,primals_15,unknown,,0,0,1,0,5641,3
15,primals_16,placeholder,primals_16,unknown,,0,0,1,0,5618,3
16,primals_17,placeholder,primals_17,unknown,,0,0,1,0,5622,3
17,primals_18,placeholder,primals_18,unknown,,0,0,1,0,5698,2
18,primals_19,placeholder,primals_19,unknown,,0,0,1,0,5645,2
19,primals_20,placeholder,primals_20,unknown,,0,0,1,0,5585,3
20,primals_21,placeholder,primals_21,unknown,,0,0,1,0,5585,3
21,primals_22,placeholder,primals_22,unknown,,0,0,1,0,5578,3
22,primals_23,placeholder,primals_23,unknown,,0,0,1,0,5565,3
23,primals_24,placeholder,primals_24,unknown,,0,0,1,0,5545,3
24,primals_25,placeholder,primals_25,unknown,,0,0,1,0,5522,3
25,primals_26,placeholder,primals_26,unknown,,0,0,1,0,5526,3
26,primals_27,placeholder,primals_27,unknown,,0,0,1,0,5602,2
27,primals_28,placeholder,primals_28,unknown,,0,0,1,0,5549,2
28,primals_29,placeholder,primals_29,unknown,,0,0,1,0,5489,3
29,primals_30,placeholder,primals_30,unknown,,0,0,1,0,5489,3
30,primals_31,placeholder,primals_31,unknown,,0,0,1,0,5482,3
31,primals_32,placeholder,primals_32,unknown,,0,0,1,0,5469,3
32,primals_33,placeholder,primals_33,unknown,,0,0,1,0,5449,3
33,primals_34,placeholder,primals_34,unknown,,0,0,1,0,5426,3
34,primals_35,placeholder,primals_35,unknown,,0,0,1,0,5430,3
35,primals_36,placeholder,primals_36,unknown,,0,0,1,0,5506,2
36,primals_37,placeholder,primals_37,unknown,,0,0,1,0,5453,2
37,primals_38,placeholder,primals_38,unknown,,0,0,1,0,5393,3
38,primals_39,placeholder,primals_39,unknown,,0,0,1,0,5393,3
39,primals_40,placeholder,primals_40,unknown,,0,0,1,0,5386,3
40,primals_41,placeholder,primals_41,unknown,,0,0,1,0,5373,3
41,primals_42,placeholder,primals_42,unknown,,0,0,1,0,5353,3
42,primals_43,placeholder,primals_43,unknown,,0,0,1,0,5330,3
43,primals_44,placeholder,primals_44,unknown,,0,0,1,0,5334,3
44,primals_45,placeholder,primals_45,unknown,,0,0,1,0,5410,2
45,primals_46,placeholder,primals_46,unknown,,0,0,1,0,5357,2
46,primals_47,placeholder,primals_47,unknown,,0,0,1,0,5297,3
47,primals_48,placeholder,primals_48,unknown,,0,0,1,0,5297,3
48,primals_49,placeholder,primals_49,unknown,,0,0,1,0,5290,3
49,primals_50,placeholder,primals_50,unknown,,0,0,1,0,5277,3
50,primals_51,placeholder,primals_51,unknown,,0,0,1,0,5257,3
51,primals_52,placeholder,primals_52,unknown,,0,0,1,0,5234,3
52,primals_53,placeholder,primals_53,unknown,,0,0,1,0,5238,3
53,primals_54,placeholder,primals_54,unknown,,0,0,1,0,5314,2
54,primals_55,placeholder,primals_55,unknown,,0,0,1,0,5261,2
55,primals_56,placeholder,primals_56,unknown,,0,0,1,0,5201,3
56,primals_57,placeholder,primals_57,unknown,,0,0,1,0,5201,3
57,primals_58,placeholder,primals_58,unknown,,0,0,1,0,5194,3
58,primals_59,placeholder,primals_59,unknown,,0,0,1,0,5181,3
59,primals_60,placeholder,primals_60,unknown,,0,0,1,0,5161,3
60,primals_61,placeholder,primals_61,unknown,,0,0,1,0,5138,3
61,primals_62,placeholder,primals_62,unknown,,0,0,1,0,5142,3
62,primals_63,placeholder,primals_63,unknown,,0,0,1,0,5218,2
63,primals_64,placeholder,primals_64,unknown,,0,0,1,0,5165,2
64,primals_65,placeholder,primals_65,unknown,,0,0,1,0,5105,3
65,primals_66,placeholder,primals_66,unknown,,0,0,1,0,5105,3
66,primals_67,placeholder,primals_67,unknown,,0,0,1,0,5098,3
67,primals_68,placeholder,primals_68,unknown,,0,0,1,0,5085,3
68,primals_69,placeholder,primals_69,unknown,,0,0,1,0,5065,3
69,primals_70,placeholder,primals_70,unknown,,0,0,1,0,5042,3
70,primals_71,placeholder,primals_71,unknown,,0,0,1,0,5046,3
71,primals_72,placeholder,primals_72,unknown,,0,0,1,0,5122,2
72,primals_73,placeholder,primals_73,unknown,,0,0,1,0,5069,2
73,primals_74,placeholder,primals_74,unknown,,0,0,1,0,5009,3
74,primals_75,placeholder,primals_75,unknown,,0,0,1,0,5009,3
75,primals_76,placeholder,primals_76,unknown,,0,0,1,0,5002,3
