idx,name,op,target,phase,layer,direct_dependency_args,direct_dependency_nodes,direct_offspring_nodes,ancestor_count,descendant_count,strategy_count
3289,_scaled_dot_product_flash_attention_backward,call_function,_scaled_dot_product_flash_attention_backward.default,backward,27,8,8,3,3173,3033,2
3431,_scaled_dot_product_flash_attention_backward_1,call_function,_scaled_dot_product_flash_attention_backward.default,backward,26,8,8,3,3280,2923,2
3573,_scaled_dot_product_flash_attention_backward_2,call_function,_scaled_dot_product_flash_attention_backward.default,backward,25,8,8,3,3387,2813,2
3715,_scaled_dot_product_flash_attention_backward_3,call_function,_scaled_dot_product_flash_attention_backward.default,backward,24,8,8,3,3494,2703,2
3857,_scaled_dot_product_flash_attention_backward_4,call_function,_scaled_dot_product_flash_attention_backward.default,backward,23,8,8,3,3601,2593,2
3999,_scaled_dot_product_flash_attention_backward_5,call_function,_scaled_dot_product_flash_attention_backward.default,backward,22,8,8,3,3708,2483,2
4141,_scaled_dot_product_flash_attention_backward_6,call_function,_scaled_dot_product_flash_attention_backward.default,backward,21,8,8,3,3815,2373,2
4283,_scaled_dot_product_flash_attention_backward_7,call_function,_scaled_dot_product_flash_attention_backward.default,backward,20,8,8,3,3922,2263,2
4425,_scaled_dot_product_flash_attention_backward_8,call_function,_scaled_dot_product_flash_attention_backward.default,backward,19,8,8,3,4029,2153,2
4567,_scaled_dot_product_flash_attention_backward_9,call_function,_scaled_dot_product_flash_attention_backward.default,backward,18,8,8,3,4136,2043,2
4709,_scaled_dot_product_flash_attention_backward_10,call_function,_scaled_dot_product_flash_attention_backward.default,backward,17,8,8,3,4243,1933,2
4851,_scaled_dot_product_flash_attention_backward_11,call_function,_scaled_dot_product_flash_attention_backward.default,backward,16,8,8,3,4350,1823,2
4993,_scaled_dot_product_flash_attention_backward_12,call_function,_scaled_dot_product_flash_attention_backward.default,backward,15,8,8,3,4457,1713,2
5135,_scaled_dot_product_flash_attention_backward_13,call_function,_scaled_dot_product_flash_attention_backward.default,backward,14,8,8,3,4564,1603,2
5277,_scaled_dot_product_flash_attention_backward_14,call_function,_scaled_dot_product_flash_attention_backward.default,backward,13,8,8,3,4671,1493,2
